idHotel,imeHotel,lanacHotel,gradHotel,adresaHotel,pbrHotel,brZvjezdica,wikiStranica,telefonHotel,bazen/0,bazen/1
1,Hotel Esplanada,Regent,Zagreb,Ulica Antuna Mihanovića 1,10000,5,https://hr.wikipedia.org/wiki/Hotel_Esplanade,+38514566666,nema,
2,Hilton Imperial,Hilton Hotels & Resorts,Dubrovnik,Ulica Adrijana Blažića 2,20000,5,https://en.wikipedia.org/wiki/Hilton_Hotels_%26_Resorts,+38520320320,unutarnji,
3,Double Tree by Hilton,Hilton Hotels & Resorts,Zagreb,Ulica grada Vokovars 269a,10000,5,https://en.wikipedia.org/wiki/DoubleTree,+38516001900,unutarnji,
4,Hotel Garden Inn,Hilton Hotels & Resorts,Zagreb,Radnička cesta 21,10000,4,https://en.wikipedia.org/wiki/Hilton_Garden_Inn,+38514566666,nema,
5,Kempinski Hotel Adriatic Istria,Kempinski,Savudrija,Alberi 300a,52475,5,https://en.wikipedia.org/wiki/Kempinski#Kempinski_hotels_worldwide,+38552707000,unutarnji,vanjski
6,Best Western Hotel Stella,Best Western,Zagreb,Maslenička 1,10010,3,https://en.wikipedia.org/wiki/Best_Western,+38515396300,nema,
7,Sheraton Zagreb,Sheraton Hotels and Resorts,Zagreb,Ulica kneza Borne 2,10000,5,https://en.wikipedia.org/wiki/Sheraton_Hotels_and_Resorts,+38514553535,unutarnji,
8,Le Méridien Lav,Le Méridien,Split,Grljevačka 2a,21312,5,https://en.wikipedia.org/wiki/Le_M%C3%A9ridien,+38521500500,unutarnji,vanjski
9,Hotel Adriana,Falkensteiner,Zadar,Majstora Radovana 7,23000,4,https://de.wikipedia.org/wiki/Falkensteiner_Michaeler_Tourism_Group#Falkensteiner_Hotels_und_Residences,+38523206300,vanjski,
8,Hotel Bevanda,Relais & Châteaux,Opatija,Zert ulica 8,21312,5,https://en.wikipedia.org/wiki/Relais_%26_Ch%C3%A2teaux,+38551493888,nema,
9,Best Western Premier Hotel Astoria,Best Western,Zagreb,Petrinjska ulica 71,10000,4,https://en.wikipedia.org/wiki/Best_Western,+38514808900,nema,
